date,Ticker,Avg. Sentiment,% Positive,% Negative,% Neutral,Sentiment Volatility,sum_positive,sum_negative,sum_neutral,total_tweets,daily_change_pct
2015-04-14,AAPL,0.06720430108,11.73835125,5.017921147,83.2437276,0.4039709591,131,56,929,1116,-0.433582972
2015-04-14,AMZN,0.1188811189,17.13286713,5.244755245,77.62237762,0.4586710091,49,15,222,286,0.7192174914
2015-04-14,GOOG,0.05426356589,11.88630491,6.45994832,81.65374677,0.4254240954,46,25,316,387,-1.628428881
2015-04-14,GOOGL,-0.01310043668,6.986899563,8.296943231,84.71615721,0.3915819171,16,19,194,229,-1.614902304
2015-04-14,MSFT,0.02325581395,15.69767442,13.37209302,70.93023256,0.5402348241,27,23,122,172,-0.2634099617
2015-04-14,TSLA,0.01515151515,7.878787879,6.363636364,85.75757576,0.3776597366,26,21,283,330,-1.105920488
2015-04-15,AAPL,0.0998980632,14.98470948,4.99490316,80.02038736,0.4359015872,147,49,785,981,0.3800475059
2015-04-15,AMZN,0.106870229,14.1221374,3.435114504,82.44274809,0.4059312815,37,9,216,262,-0.4310456753
2015-04-15,GOOG,0.02814258912,15.57223265,12.75797373,71.66979362,0.5320160641,83,68,382,533,0.403476687
2015-04-15,GOOGL,0.02356902357,12.12121212,9.764309764,78.11447811,0.4680141227,36,29,232,297,0.2334284338
2015-04-15,MSFT,0.2203389831,27.68361582,5.649717514,66.66666667,0.5351655418,49,10,118,177,1.452581032
2015-04-15,TSLA,-0.01526717557,7.251908397,8.778625954,83.96946565,0.4008560347,19,23,220,262,0.1783476333
2015-04-16,AAPL,0.04571428571,11.33333333,6.761904762,81.9047619,0.4231230232,119,71,860,1050,-0.4811484461
2015-04-16,AMZN,0.02553191489,12.34042553,9.787234043,77.87234043,0.4707096321,29,23,183,235,0.6754466032
2015-04-16,GOOG,0.03485254692,12.60053619,9.115281501,78.28418231,0.4653213622,47,34,292,373,0.2384842169
2015-04-16,GOOGL,0.06493506494,13.41991342,6.926406926,79.65367965,0.4473398379,31,16,184,231,0.4583764602
2015-04-16,MSFT,0.1135135135,15.67567568,4.324324324,80,0.433741409,29,8,148,185,-0.2248254644
2015-04-16,TSLA,0.005434782609,8.695652174,8.152173913,83.15217391,0.411544905,16,15,153,184,-0.5437136121
2015-04-17,AAPL,0.07732406603,13.11902693,5.38662033,81.49435274,0.4233593993,151,62,938,1151,-1.125465642
2015-04-17,AMZN,0.1115107914,16.90647482,5.755395683,77.3381295,0.4636348521,47,16,215,278,-2.714744586
2015-04-17,GOOG,0.09418282548,13.01939058,3.601108033,83.37950139,0.3972047608,47,13,301,361,-1.826526789
2015-04-17,GOOGL,0.1179487179,14.35897436,2.564102564,83.07692308,0.3951195792,28,5,162,195,-1.983367677
2015-04-17,MSFT,0.197080292,23.35766423,3.649635036,72.99270073,0.4826309036,32,5,100,137,-1.292694497
2015-04-17,TSLA,0.03543307087,10.23622047,6.692913386,83.07086614,0.4107310669,26,17,211,254,0.0435413643
2015-04-18,AAPL,0.08026030369,13.01518438,4.989154013,81.99566161,0.4171079747,60,23,378,461,-1.125465642
2015-04-18,AMZN,0.03921568627,4.901960784,0.9803921569,94.11764706,0.2405261818,5,1,96,102,-2.714744586
2015-04-18,GOOG,0.02209944751,4.972375691,2.762430939,92.26519337,0.2780048182,9,5,167,181,-1.826526789
2015-04-18,GOOGL,0.0297029703,6.930693069,3.96039604,89.10891089,0.33031638,7,4,90,101,-1.983367677
